"YEAR","COMMODITY (code)","COMMODITY","Value","Flag"
"2012","893","Butterm.,Curdl,Acid.Milk","8639.93",""
"2012","886","Butter Cow Milk","6.95",""
"2012","888","Milk Skm of Cows","701.23",""
"2012","1039","Bacon and Ham","1108.24",""
"2012","1037","Fat of Pigs","4.88",""
"2012","1058","Chicken meat","8030.34",""
"2012","1042","Prep of Pig Meat","400.05",""
"2012","1061","Meat of Chicken Canned","970.67",""
"2012","1059","Offals Liver Chicken","176080.53",""
"2012","1063","Eggs Liquid","0.69",""
"2012","1062","Hen eggs, with shell","721.07",""
"2012","977","Sheep meat","9160.89",""
"2012","947","Buffalo meat","82.78",""
"2012","994","Grease incl. Lanolin Wool","",".."
"2012","978","Offals of Sheep,Edible","",".."
"2012","1018","Offals of Goats, Edible","644.66",""
"2012","1017","Goat meat","8.65",""
"2012","1036","Offals of Pigs, Edible","3169.85",""
"2012","1035","Pig meat","922.29",""
"2012","1168","Oils,Fats of Animal Nes","0.67",""
"2012","1172","Prepared Meat Nes","188.31",""
"2012","1173","Meal Meat","650.35",""
"2012","1182","Honey, natural","91.76",""
"2012","1183","Beeswax","9.65",""
"2012","1221","Lard Stearine Oil","",".."
"2012","1222","Degras","",".."
"2012","1232","Food Prep Nes","40447.24",""
"2012","1064","Eggs Dried","0.1",""
"2012","1066","Fat of Ptry Rend","0.25",""
"2012","1080","Turkey meat","",".."
"2012","1097","Horse meat","0.71",""
"2012","1100","Hair of Horses","",".."
"2012","1141","Rabbit meat","0.89",""
"2012","1164","Meat Dried Nes","",".."
"2012","1166","Meat nes","3.06",""
"2012","549","Gooseberries","",".."
"2012","544","Strawberries","35.86",""
"2012","537","Plums Dried (Prunes)","5.43",""
"2012","536","Plums and sloes","33.82",""
"2012","534","Peaches and nectarines","11.15",""
"2012","531","Cherries","0.25",""
"2012","527","Dry Apricots","4.28",""
"2012","526","Apricots","0.76",""
"2012","521","Pears","109.92",""
"2012","518","Apple juice, single strength","",".."
"2012","517","Cider Etc","3399.04",""
"2012","515","Apples","9446.75",""
"2012","514","Citrus juice, concentrated","",".."
"2012","512","Citrus fruit, nes","26.0",""
"2012","509","Juice of Grapefruit","",".."
"2012","507","Grapefruit (incl. pomelos)","6.2",""
"2012","604","Fruit Tropical Dried Nes","8.63",""
"2012","619","Fruit Fresh Nes","132.61",""
"2012","577","Dates","94.58",""
"2012","580","Pineapple Juice Conc","",".."
"2012","574","Pineapples","0.1",""
"2012","575","Pineapples Cand","7.73",""
"2012","569","Figs","2.29",""
"2012","572","Avocados","0.61",""
"2012","565","Vermouths&Similar","1326.19",""
"2012","567","Watermelons","",".."
"2012","563","Must of Grapes","",".."
"2012","564","Wine","9882.03",""
"2012","561","Raisins","100.08",""
"2012","562","Grape Juice","",".."
"2012","558","Berries Nes","35.54",""
"2012","560","Grapes","1051.1",""
"2012","656","Coffee, green","69.57",""
"2012","653","Food Wastes","1.1",""
"2012","659","Coffee Extracts","0.24",""
"2012","657","Coffee Roasted","56.03",""
"2012","635","Straw Husks","0.54",""
"2012","634","Bever. Dist.Alc","7338.74",""
"2012","652","Veg Prod for Feed","",".."
"2012","651","forage Products","",".."
"2012","626","Homogen. Cooked Fruit Prp","77.79",""
"2012","625","Fruit,Nut,Peel, Sugar Prs","18.72",""
"2012","633","Beverage Non-Alc","56317.5",""
"2012","631","Waters,Ice Etc","309.24",""
"2012","622","Fruit Juice Nes","6877.99",""
"2012","620","Fruit Dried Nes","322.89",""
"2012","624","Flour of Fruits","55.23",""
"2012","623","Fruit Prp Nes","2030.2",""
"2012","692","Vanilla","0.54",""
"2012","693","Cinnamon (canella)","11.69",""
"2012","698","Cloves","73.32",""
"2012","702","Nutmeg, mace and cardamoms","351.38",""
"2012","672","Extracts Tea, Mate, Prep","38.07",""
"2012","677","Hops","147.81",""
"2012","687","Pepper (Piper spp.)","176.45",""
"2012","689","Chillies and peppers (Capsicum spp.) and allspice (Pimenta spp.)","6.24",""
"2012","665","Cocoapowder&Cake","932.58",""
"2012","666","Chocolate Prsnes","6387.47",""
"2012","667","Tea","5978.76",""
"2012","671","Maté","0.34",""
"2012","661","Cocoa beans","0.25",""
"2012","662","Cocoa Paste","",".."
"2012","663","Cocoahusks","9.99",""
"2012","664","Cocoa Butter","3.47",""
"2012","271","Rapeseed oil","",".."
"2012","274","Oil of Olive Residues","1.19",""
"2012","268","Sunflower oil","0.57",""
"2012","269","Sunflower Cake","0.17",""
"2012","280","Safflower seed","",".."
"2012","281","Safflower oil","1217.99",""
"2012","276","Oil of Tung Nuts","",".."
"2012","278","Oil of Jojoba","",".."
"2012","292","Mustard seed","4.3",""
"2012","295","Flour of Mustard","82.07",""
"2012","289","Sesame seed","54.56",""
"2012","290","Sesame oil","9.42",""
"2012","331","Cottonseed oil","",".."
"2012","332","Cake of Cottonseed","",".."
"2012","296","Poppy seed","4.06",""
"2012","329","Cottonseed","41.91",""
"2012","339","Oilseeds, Nes","91.5",""
"2012","335","Cake of Linseed","0.09",""
"2012","334","Linseed oil","15.73",""
"2012","333","Linseed","6.1",""
"2012","358","Cabbages and other brassicas","37.59",""
"2012","343","Flour of Oilseeds","4398.84",""
"2012","341","Cake of Oilseeds, Nes","0.61",""
"2012","340","Oil of vegetable origin, nes","258.3",""
"2012","373","Spinach","2.98",""
"2012","372","Lettuce and chicory","76.36",""
"2012","367","Asparagus","14.02",""
"2012","366","Artichokes","",".."
"2012","392","Tomato Peeled","105.28",""
"2012","391","Paste of Tomatoes","90069.13",""
"2012","390","Juice of Tomatoes","20.18",""
"2012","388","Tomatoes","2571.96",""
"2012","393","Cauliflowers and broccoli","67.53",""
"2012","397","Cucumbers and gherkins","3.88",""
"2012","399","Eggplants (aubergines)","4.7",""
"2012","401","Chillies and peppers, green (Capsicum spp.)","37.58",""
"2012","402","Onions (incl. shallots), green","12385.47",""
"2012","406","Garlic","1642.79",""
"2012","407","Leeks and other alliaceous vegetables","7.14",""
"2012","414","Beans, green","18.85",""
"2012","417","Peas, green","34.7",""
"2012","420","Leguminous vegetables, nes","4.79",""
"2012","426","Carrots and turnips","69.68",""
"2012","447","Sweet Corn Frozen","33.58",""
"2012","448","Sweet Corn Prep or Preserved","63.21",""
"2012","449","Mushrooms and truffles","25.69",""
"2012","450","Dried Mushrooms","",".."
"2012","451","Canned Mushrooms","168.43",""
"2012","461","Carobs","",".."
"2012","460","Veg.Prod.Fresh Or Dried","",".."
"2012","466","Juice of Vegetables Nes","12212.23",""
"2012","463","Vegetables fresh nes","436.8",""
"2012","471","Vegetables in Vinegar","17.62",""
"2012","469","Vegetables Dehydrated","16.45",""
"2012","473","Vegetable Frozen","331.29",""
"2012","472","Vegetables Preserved Nes","2962.69",""
"2012","475","Veg.Prep. Or Pres.Frozen","20.95",""
"2012","474","Veg.in Tem. Preservatives","135.71",""
"2012","486","Bananas","215.96",""
"2012","476","Homogen.Veget.Prep","12.09",""
"2012","492","Oranjuice Concentrated","2017.13",""
"2012","490","Oranges","30.79",""
"2012","497","Lemons and limes","",".."
"2012","495","Tangerines, mandarins and clementines","22.91",""
"2012","116","Potatoes","755.74",""
"2012","117","Potatoes Flour","98.12",""
"2012","113","Cereal Preparations, Nes","495.38",""
"2012","114","Mixes and Doughs","431.48",""
"2012","109","Infant Food","13206.13",""
"2012","111","Flour of Cereals","173.72",""
"2012","105","Bran of Mixed Grains","",".."
"2012","108","Cereals, nes","82.8",""
"2012","151","Roots and Tubers Dried","2.43",""
"2012","156","Sugar cane","5.44",""
"2012","129","Cassava Starch","345.26",""
"2012","150","Flour of Roots and Tubers","11.3",""
"2012","127","Tapioca of Cassava","191.86",""
"2012","128","Cassava Dried","0.09",""
"2012","118","Frozen Potatoes","1153.88",""
"2012","122","Sweet potatoes","11.47",""
"2012","168","Sugar Confectionery","13665.77",""
"2012","167","Sugar, nes","265.81",""
"2012","166","Other Fructose and Syrup","11.35",""
"2012","165","Molasses","20.21",""
"2012","164","Sugar Refined","132597.37",""
"2012","162","Sugar Raw Centrifugal","363.92",""
"2012","160","Maple Sugar and Syrups","38.81",""
"2012","157","Sugar beet","0.23",""
"2012","212","Flour of Pulses","1.66",""
"2012","211","Pulses, nes","26.96",""
"2012","201","Lentils","41.64",""
"2012","191","Chick peas","10.93",""
"2012","187","Peas, dry","13.78",""
"2012","181","Broad beans and horse beans, dry","0.59",""
"2012","176","Beans, dry","1935.39",""
"2012","172","Glucose and Dextrose","1674.16",""
"2012","223","Pistachios","2.19",""
"2012","225","Hazelnuts, with shell","0.07",""
"2012","231","Almonds Shelled","20.96",""
"2012","232","Walnuts Shelled","10.93",""
"2012","213","Bran of Pulses","",".."
"2012","220","Chestnuts","1.16",""
"2012","221","Almonds, with shell","22.55",""
"2012","222","Walnuts, with shell","0.29",""
"2012","237","Soybean oil","3647.44",""
"2012","238","Cake of Soybeans","2050.16",""
"2012","239","Soya Sauce","307.69",""
"2012","240","Soya Paste","213.43",""
"2012","233","Hazelnuts Shelled","",".."
"2012","234","Nuts, nes","111.93",""
"2012","235","Prepared Nuts (Exc.Groundnuts)","99.06",""
"2012","236","Soybeans","21.04",""
"2012","251","Copra","",".."
"2012","246","Prepared Groundnuts","70.14",""
"2012","253","Cake of Copra","",".."
"2012","252","Coconut (copra) oil","1.24",""
"2012","243","Groundnuts Shelled","33.53",""
"2012","242","Groundnuts, with shell","168.11",""
"2012","245","Cake of Groundnuts","18.7",""
"2012","244","Groundnut oil","3.3",""
"2012","265","Castor oil seed","",".."
"2012","262","Olives Preserved","178.99",""
"2012","267","Sunflower seed","11.96",""
"2012","266","Oil of Castor Beans","557.23",""
"2012","257","Palm oil","103106.04",""
"2012","256","Palm kernels","",".."
"2012","261","Olive oil, virgin","1464.22",""
"2012","258","Palm kernel oil","1877.09",""
"2009","495","Tangerines, mandarins and clementines","2.3",""
"2009","497","Lemons and limes","",".."
"2009","507","Grapefruit (incl. pomelos)","9.75",""
"2009","509","Juice of Grapefruit","",".."
"2009","476","Homogen.Veget.Prep","3.54",""
"2009","486","Bananas","66.12",""
"2009","490","Oranges","9.2",""
"2009","492","Oranjuice Concentrated","844.29",""
"2009","472","Vegetables Preserved Nes","849.36",""
"2009","473","Vegetable Frozen","203.86",""
"2009","474","Veg.in Tem. Preservatives","67.41",""
"2009","475","Veg.Prep. Or Pres.Frozen","39.25",""
"2009","463","Vegetables fresh nes","11.08",""
"2009","466","Juice of Vegetables Nes","3227.24",""
"2009","469","Vegetables Dehydrated","57.61",""
"2009","471","Vegetables in Vinegar","10.29",""
"2009","549","Gooseberries","",".."
"2009","544","Strawberries","0.59",""
"2009","560","Grapes","403.82",""
"2009","558","Berries Nes","0.73",""
"2009","534","Peaches and nectarines","10.35",""
"2009","531","Cherries","0.07",""
"2009","537","Plums Dried (Prunes)","0.89",""
"2009","536","Plums and sloes","4.77",""
"2009","521","Pears","61.33",""
"2009","518","Apple juice, single strength","",".."
"2009","527","Dry Apricots","5.16",""
"2009","526","Apricots","0.44",""
"2009","514","Citrus juice, concentrated","",".."
"2009","512","Citrus fruit, nes","0.65",""
"2009","517","Cider Etc","1522.08",""
"2009","515","Apples","3264.3",""
"2009","620","Fruit Dried Nes","5.44",""
"2009","622","Fruit Juice Nes","3167.92",""
"2009","604","Fruit Tropical Dried Nes","0.92",""
"2009","619","Fruit Fresh Nes","43.51",""
"2009","577","Dates","42.09",""
"2009","580","Pineapple Juice Conc","",".."
"2009","574","Pineapples","",".."
"2009","575","Pineapples Cand","1.95",""
"2009","569","Figs","0.44",""
"2009","572","Avocados","0.28",""
"2009","565","Vermouths&Similar","65.58",""
"2009","567","Watermelons","",".."
"2009","563","Must of Grapes","3.03",""
"2009","564","Wine","7301.54",""
"2009","561","Raisins","17.31",""
"2009","562","Grape Juice","",".."
"2009","662","Cocoa Paste","",".."
"2009","661","Cocoa beans","",".."
"2009","659","Coffee Extracts","1.32",""
"2009","657","Coffee Roasted","31.9",""
"2009","656","Coffee, green","11.37",""
"2009","653","Food Wastes","119.21",""
"2009","652","Veg Prod for Feed","",".."
"2009","651","forage Products","",".."
